source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
1189459792122728064,236.0313443049663,0.034782057067494515,11.498048953119042,0.032163840770666204,0.808699183724076,0.044695770067348296,-9.47111540393175,0.06855837428670389,-9.255811886157504,0.07498017361950195,15.2558775,0.8397207
1189449140603831296,235.82629772955747,0.026125409618514298,11.297629564883692,0.024188841878455783,1.204793507579178,0.03356453938729529,-21.396167562465223,0.05634279660737019,-13.978798481020673,0.060491240231631375,15.000263,0.9854212
1189362755925600000,235.35471655274472,0.45949314475122116,11.180371610096158,0.3287087274805473,0.6254280580881367,0.5625161328137992,-4.4814642086857095,0.8448620682785759,-0.5456516165329195,0.8570473551640594,19.734291,1.1517506
1189457455660518400,235.91519252156382,0.028836200558166925,11.401302671422448,0.024037314325102005,2.873181914480759,0.03798759429526896,-26.33630492847286,0.055445386479634484,-28.199694812043035,0.06289426808476306,14.917764,1.5777721
1189446009571388928,236.0060280312294,0.339233018886287,11.276985480539862,0.3911225575750464,0.48934063505287845,0.39495799865036163,10.167451255428595,0.6865900363356603,-8.591361756212356,0.9466433166206941,18.980661,2.5633392
1189362171810047488,235.41445334017814,0.708179469996324,11.178163233374594,0.4995061432898798,-0.30038614602521113,0.8503108361250973,-13.966685059053654,1.414305536604608,-0.9807112360570172,1.4384064452744205,20.364532,1.5667686
1189380966586947328,236.26151886884458,0.11011383905494447,11.067292378438548,0.12196544522020882,0.23739317643421518,0.14327497235807513,-3.9306508807994494,0.22859269552641326,-0.6016383157387131,0.27018011834629785,17.526276,0.86161613
1189316542078329344,235.24640025075666,0.7102311861846218,10.797598174339612,0.9114091040199189,0.851238401631839,0.9358846554302369,-8.334578333935978,1.853222307768384,-6.182836610176534,2.642201899621716,20.37658,2.115488
1189393920208677376,236.11532652115224,0.4708602071905735,11.144217106506453,0.5575139410623623,1.3969475428708555,0.5539173949587968,2.718963846275743,0.9599844138762166,-10.18019445849535,1.3139461752328472,19.75599,2.2847672
1189322898628971776,235.14726981394531,0.37027768236033237,10.815536296094184,0.45974183543426983,0.32161011584626764,0.46226341980016433,0.3449757567411995,0.7751362209761518,-16.588486135341725,1.122405760550749,19.483576,1.1507759
1189373751041838208,236.21811787972004,0.1179408125163246,10.873297790914748,0.12801108773405276,0.08246661379038868,0.15586384521270355,-6.205969543563105,0.2819554904085285,-0.28735567555699737,0.35942371883551844,17.60067,0.77620125
1189497205581688320,236.049158759862,0.13321647346332718,11.660883548490691,0.13139501193078013,0.10670560621981261,0.18152830026208047,-11.318767005736506,0.25842648095258336,0.5259317199891884,0.3170680176281835,17.968004,1.0463314
1189339052002132480,235.53432245584983,0.023918108779377632,10.908230727026526,0.019442732848903018,1.3042667424884822,0.02959585712599214,0.9201795173387433,0.04863805830342354,-3.369668591465984,0.04832219105372067,14.769999,0.9600916
1189468858797485184,235.74796968524032,0.14094574469915624,11.521030542590681,0.10243558091095127,-0.210740866483567,0.15659662137740324,-8.76680135292341,0.2899411641382053,-8.602267934050165,0.2675473951645393,17.76731,0.89048004
1189290329893115392,235.56751416312795,0.04235549337357753,10.805372343794723,0.033269723530408656,0.49345865527253746,0.05321914929341169,-5.362698611929774,0.08294283814389432,-9.87839281045398,0.07838431325176165,15.651967,0.85092163
1189373338724977664,236.26981311069252,0.11775276687086762,10.872826454408143,0.10934697327711707,2.6707459977723422,0.14077094565978976,3.2684069337703425,0.24540986899946204,-11.148166152730896,0.2719478779585585,17.664726,2.4073753
1189310395980342400,235.1945440545523,0.024550732203773365,10.737916840087696,0.030105698818101753,0.9004517604096016,0.035778565769111904,-9.284570935171924,0.05480954471038301,-6.406782066336552,0.08366699336149676,14.332048,0.8243561
1189373716682100096,236.19991156298164,0.5923858551080253,10.87619800877614,0.6293548187731989,0.3795627587863522,0.7641212620915212,-6.520599656959529,1.2538758431744423,-7.342856636766527,1.7104802460153783,20.246532,1.1155872
1189500813354234880,236.04544190606816,0.44468435713028426,11.717648583076839,0.513824270331098,-0.41121673871808107,0.7804925330491403,-3.490309218698272,1.0782992280573813,-3.3585270890371746,1.5428427790323134,19.925682,1.9698849
1189376671619625984,236.32271655202402,0.6299313982036842,10.999710881876126,0.5639905541929402,1.6947717476567317,0.787830786578445,0.06811944239795464,1.2687445508103041,-10.454571067942906,1.592281132525631,20.107948,1.7774315
1189453328196094848,236.08153152427013,0.5079132665715619,11.351602236673854,0.6604893551670151,-0.06872868214000354,0.6133701491573511,-4.264999627497745,1.2291235901034026,0.7236529913284626,1.7583188783068913,19.859829,0.7530041
1189359388671214592,235.2630530336422,0.144701576307688,11.053118095858013,0.145747578006826,0.4855762452219412,0.18734788326057009,-3.851350658620143,0.3174457293883511,-4.027196037527198,0.38153383233113325,18.328789,0.851614
1189470267546755712,235.95318258538225,0.6579529009523015,11.516744508903916,0.6763423348242934,-0.7023937290546048,0.7049943303060489,-5.678736403548619,1.2679211894399913,-4.277460580978556,1.7124604056901827,19.643951,0.81381416
1189290432972330752,235.56689724203648,0.060146729657541205,10.809474229840891,0.050085907428070266,0.3598208657977226,0.0814876411256085,-6.4654419932263565,0.11993182771416878,-1.697556960844215,0.12342616548614818,16.48648,0.84700394
1189325028932749568,234.93847056741123,0.3732770502675713,10.812862068667359,0.33251367240732477,0.5367352772054904,0.4537589213307964,-0.1020383973902742,0.7782464861256336,0.3398643806266756,0.7801812309409912,19.629248,2.2639751
1189477242573685376,235.83225854658266,0.5165941333233858,11.62517779612525,0.3411571322089024,-0.37928374429621686,0.6556954756887905,-5.9056880561553475,0.8357422075742352,-2.894725153391231,0.8221452092639749,19.762913,1.5973625
1189475558946504704,235.8320286150673,0.1565002306790891,11.623036939685756,0.1129862496523561,0.6461220271642975,0.1982250238305636,-6.067177410133981,0.2670535390886003,-3.8625408955167035,0.28209010411117713,18.034813,1.128439
1189318981618828416,235.28677841160302,0.5472475364345155,10.883476605665534,0.575118479383615,0.032074857365008785,0.6354591568543205,-12.332867585673243,1.1730982126107807,-14.182201631558579,1.512021343679616,20.022028,1.0755711
1189300977118806272,235.9324737914682,0.7645105194255126,11.061161904717492,0.5771699176778986,0.40699571635698567,0.924508563592138,-2.3744723984031357,1.7200541481839657,-1.9137651627915513,1.4682918901396436,20.48518,2.0802193
