source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
2013560902657753472,345.77710907371,0.016231053,59.51585854478283,0.016695589,0.4935039317008216,0.019735483,7.8940134,-5.92427310675838,0.020354176,-5.217128781908773,0.022089124,-0.09833894,-0.032946132,-0.13781695,14.877696,15.337406,14.235134,1.102272
2013560902660793472,345.7896994551207,0.025659485,59.52786308145493,0.028206717,0.3241488752365329,0.032779247,2.1466293,-2.0993280102133656,0.032420225,0.44815118574966,0.03810496,-0.090791605,0.0058704144,-0.19791837,16.039654,16.577084,15.327789,1.2492943
2013560902660793600,345.786303437684,0.18896468,59.52768197986112,0.19286896,0.3225850769830551,0.23564541,3.9044666,-3.095087591829561,0.23321165,-2.38018733112243,0.25851998,-0.100328125,-0.08698861,-0.12864362,19.411469,20.328915,18.312376,2.0165386
2013560967078265856,345.6126478572989,0.13355495,59.465749572518106,0.12210589,0.4234006826664151,0.15911497,5.3378615,-5.156601873916704,0.16829047,-1.3792108758005093,0.16821931,-0.11872295,-0.06660407,-0.075641,18.784773,19.54615,17.923943,1.6222076
2013560967078269184,345.59884635274807,0.065813445,59.466685120968,0.06156843,0.1923856210126988,0.078500986,2.294604,-2.22377649166379,0.07932258,-0.5657087032712884,0.07888024,-0.17374843,-0.0135788955,-0.16309674,17.678938,18.980455,16.571953,2.4085026
2013560967078282624,345.6108396286239,0.1905516,59.47158684846337,0.18906349,0.3345377395590228,0.24242115,2.3622308,-2.164403570336091,0.21454895,-0.9463040834732124,0.23048432,-0.1684102,-0.024666462,-0.17218933,18.973461,19.899193,17.90405,1.995142
2013560967082697344,345.6227436714731,0.39900556,59.4684407697788,0.37296057,0.6303261410373174,0.4661099,2.7662208,-2.76532486234913,0.5005632,-0.0704016267327744,0.53687876,-0.05144577,-0.014732821,-0.21764797,20.236868,21.039297,19.217247,1.8220501
2013560971369389952,345.6175550907287,0.31627002,59.46523594816027,0.29697248,0.1960986622071316,0.38555756,2.2084515,-1.7339521075015418,0.38504803,-1.3677235232530802,0.40320498,-0.14319476,-0.14444624,-0.04352761,20.090014,21.185297,19.169107,2.0161896
2013560971369391360,345.6158105849301,0.047842715,59.46416117242735,0.045438424,0.5675483998795728,0.056755062,4.3260026,-4.289878046898514,0.06119077,-0.5578942059997627,0.058691528,-0.14426361,-0.02745506,-0.19896062,17.028664,17.547832,16.298897,1.2489357
2013560971377224832,345.6010666108239,0.08823458,59.4671572052338,0.08488462,0.3747545522269748,0.10669937,3.9561772,-3.426280047501048,0.10804605,-1.977863130277232,0.108539134,-0.15254176,-0.031195022,-0.15085332,18.236383,18.88664,17.160654,1.7259865
